widget_title,widget_description,url_loc
Marine mammal parts sampling,Marine mammal parts sampling instructions from protected species training,./files/SpeciesID/protected_species/Training/marine mammal parts sampling.pdf
Marine mammal sighting form (page 1),Marine mammal sighting form (page 1),./files/SpeciesID/protected_species/Forms/MM POP form_Page_1.jpg
Marine mammal sighting form (page 2),Marine mammal sighting form (page 2),./files/SpeciesID/protected_species/Forms/MM POP form_Page_2.jpg
Marine mammal tissue sampling,Marine mammal tissue sampling instructions from protected species training,./files/SpeciesID/protected_species/Training/Marine Mammal Tissue Sampling.docx
Marport Folder,Marport resources,./files/Manuals/MARPORT/
Marport Quick Reference Guide,Marport Quick Reference Guide,./files/Manuals/MARPORT/Quick_reference_marport.pdf
Cod tagging protocols,McDermott's cod satellitetagging special collections protocols,./files/Collections/Cod tagging/PCod Tagging Protocol groundfish survey 2023_final.pdf
Cod tagging training video,McDermott's cod satellite tagging special collections video,./files/Collections/Cod tagging/PCOD Sat tagging video.MP4
Mesa 3 Tablet Tutorial,Mesa 3 Tablet Tutorial,./files/Manuals/Bluetooth_Devices/Mesa 3 tutorial.pdf
Metis Manuals Folder,"Metis training, documentation, and resources",./files/Manuals/Catch Data Entry/METIS Training Manuals and Documentation/
Metis: Directory Setup,Required directories and control files for Metis,./files/Manuals/Catch Data Entry/METIS PC Required Directories and Control Files/
Metis: Oracle Apex End User Guide,Oracle Apex end user guide for Metis,./files/Manuals/Catch Data Entry/oracle-apex-end-users-guide.pdf
AI Minimum Length/sex sampling,Minimum haul sex and length subsample sizes for the Aleutian Islands,./files/Manuals/Survey operation manuals/Min length and sex per haul clc.pdf
Protected Species Mitigation Measures Manual 2022,2022 Operational Mitigation Measures and Handling Procedures for Fisheries Research Conducted and Funded by the Alaska Fisheries Science Center and the International Pacific Halibut Commission,./files/SpeciesID/protected_species/Training/Manual Mitigation Measures January 2022.docx
Protected Species Mitigation Measures Manual 2020,2020 Operational Mitigation Measures and Handling Procedures for Fisheries Research Conducted and Funded by the Alaska Fisheries Science Center and the International Pacific Halibut Commission,./files/SpeciesID/protected_species/Training/Operations Manual Mitigation Measures April 2020.pdf
